Ca - Avg Ci: 1.09e-04, Avg lambda: 8.90e-01,
Cl - Avg Ci: 1.83e-03, Avg lambda: 7.14e-01,
Cr - Avg Ci: 2.04e-05, Avg lambda: 9.62e-01,
Cu - Avg Ci: 1.30e-05, Avg lambda: 9.87e-01, 
Fe - Avg Ci: 1.05e-04, Avg lambda: 9.76e-01,
K - Avg Ci: 7.55e-03, Avg lambda: 8.61e-01, 
Mg - Avg Ci: 4.45e-04, Avg lambda: 2.09e-01, 
Na - Avg Ci: 4.71e-03, Avg lambda: 1.31e-01, 
P - Avg Ci: 6.23e-03, Avg lambda: 5.21e-01, 
S - Avg Ci: 3.52e-03, Avg lambda: 6.10e-01,
Zn - Avg Ci: 3.14e-05, Avg lambda: 9.90e-01,
Na - Avg Ci: 5.39e-03, Avg lambda: 9.71e-02, Avg Ci2: 0.0036606595849520275, Avg lambda2: 0.06593882029310381 
P - Avg Ci: 7.28e-03, Avg lambda: 4.27e-01, Avg Ci2: 0.004940818153611457, Avg lambda2: 0.28971143507561614 
S - Avg Ci: 5.21e-03, Avg lambda: 5.19e-01, Avg Ci2: 0.003534307294489777, Avg lambda2: 0.3520629021198252 
Zn - Avg Ci: 2.26e-04, Avg lambda: 9.85e-01, Avg Ci2: 0.00015344028029201935, Avg lambda2: 0.6690328514663038 
Ca - Avg Ci: 4.32e-04, Avg lambda: 8.47e-01, Avg Ci2: 0.0003325183561752742, Avg lambda2: 0.6519442333537282 
Cl - Avg Ci: 3.35e-03, Avg lambda: 6.15e-01, Avg Ci2: 0.002582683585526448, Avg lambda2: 0.47360643972797606 
Cr - Avg Ci: 1.27e-04, Avg lambda: 9.43e-01, Avg Ci2: 9.7545987236974e-05, Avg lambda2: 0.7259467640188392 
Cu - Avg Ci: 1.70e-04, Avg lambda: 9.81e-01, Avg Ci2: 0.00013077257969032444, Avg lambda2: 0.755154398542778 
Fe - Avg Ci: 5.08e-04, Avg lambda: 9.64e-01, Avg Ci2: 0.0003910065365107743, Avg lambda2: 0.7422675317390032 
K - Avg Ci: 5.36e-03, Avg lambda: 8.01e-01, Avg Ci2: 0.004125538371666899, Avg lambda2: 0.616820830764166 
Mg - Avg Ci: 1.54e-03, Avg lambda: 1.46e-01, Avg Ci2: 0.0011819452756952084, Avg lambda2: 0.11262886555954886 
Na - Avg Ci: 5.54e-03, Avg lambda: 9.13e-02, Avg Ci2: 0.004266821098580146, Avg lambda2: 0.07031269265108067 
P - Avg Ci: 7.45e-03, Avg lambda: 4.06e-01, Avg Ci2: 0.005737414157467015, Avg lambda2: 0.31263338537847984 
S - Avg Ci: 5.36e-03, Avg lambda: 4.97e-01, Avg Ci2: 0.004128433328614391, Avg lambda2: 0.38290783843276643 
Zn - Avg Ci: 2.23e-04, Avg lambda: 9.84e-01, Avg Ci2: 0.0001715708460077566, Avg lambda2: 0.7578114473379854 
Ca - Avg Ci: 3.94e-04, Avg lambda: 9.14e-01, Avg Ci2: 0.0002981469454061809, Avg lambda2: 0.69107726386603 
Cl - Avg Ci: 3.05e-03, Avg lambda: 7.62e-01, Avg Ci2: 0.002306724179762781, Avg lambda2: 0.5759589589951387 
Cr - Avg Ci: 1.51e-04, Avg lambda: 9.69e-01, Avg Ci2: 0.00011432839551687326, Avg lambda2: 0.732727449011886 
Cu - Avg Ci: 1.96e-04, Avg lambda: 9.90e-01, Avg Ci2: 0.00014813635572349156, Avg lambda2: 0.748402626334328 
Fe - Avg Ci: 4.91e-04, Avg lambda: 9.81e-01, Avg Ci2: 0.0003711015377534793, Avg lambda2: 0.741536003946881 
K - Avg Ci: 4.51e-03, Avg lambda: 8.86e-01, Avg Ci2: 0.003408017903433066, Avg lambda2: 0.6702196824619644 
Mg - Avg Ci: 1.13e-03, Avg lambda: 2.62e-01, Avg Ci2: 0.000857035657656353, Avg lambda2: 0.19784128454940583 
Na - Avg Ci: 4.13e-03, Avg lambda: 1.67e-01, Avg Ci2: 0.003123801648293391, Avg lambda2: 0.12614638539614165 
P - Avg Ci: 5.56e-03, Avg lambda: 5.87e-01, Avg Ci2: 0.004201853738057465, Avg lambda2: 0.44382102081490715 
S - Avg Ci: 4.14e-03, Avg lambda: 6.69e-01, Avg Ci2: 0.0031275429185741842, Avg lambda2: 0.5059954507625878 
Zn - Avg Ci: 2.51e-04, Avg lambda: 9.92e-01, Avg Ci2: 0.00018999416874130012, Avg lambda2: 0.7498089178109969 
Ca - Avg Ci: 3.99e-04, Avg lambda: 8.92e-01, Avg Ci2: 0.0002929329388483427, Avg lambda2: 0.6544765232453785 
Cl - Avg Ci: 3.08e-03, Avg lambda: 7.09e-01, Avg Ci2: 0.0022570434865852042, Avg lambda2: 0.5204766510873128 
Cr - Avg Ci: 1.35e-04, Avg lambda: 9.61e-01, Avg Ci2: 9.899188940527945e-05, Avg lambda2: 0.705066182007066 
Cu - Avg Ci: 1.77e-04, Avg lambda: 9.87e-01, Avg Ci2: 0.00013021352795231282, Avg lambda2: 0.7243806301798702 
Fe - Avg Ci: 4.74e-04, Avg lambda: 9.75e-01, Avg Ci2: 0.0003481201160235988, Avg lambda2: 0.7159015803338261 
K - Avg Ci: 4.67e-03, Avg lambda: 8.58e-01, Avg Ci2: 0.0034268081586166245, Avg lambda2: 0.6295507361354186 
Mg - Avg Ci: 1.30e-03, Avg lambda: 2.07e-01, Avg Ci2: 0.0009569157609916151, Avg lambda2: 0.1516853139610778 
Na - Avg Ci: 4.74e-03, Avg lambda: 1.30e-01, Avg Ci2: 0.003482010376720568, Avg lambda2: 0.09515076580691917 
P - Avg Ci: 6.16e-03, Avg lambda: 5.15e-01, Avg Ci2: 0.004518663253758063, Avg lambda2: 0.3782438933215383 
S - Avg Ci: 4.50e-03, Avg lambda: 6.04e-01, Avg Ci2: 0.003300804678966774, Avg lambda2: 0.4435325107644787 
Zn - Avg Ci: 2.30e-04, Avg lambda: 9.89e-01, Avg Ci2: 0.00016865965972120221, Avg lambda2: 0.7261206348457475 
Ca - Avg Ci: 4.28e-04, Avg lambda: 8.56e-01, Avg Ci2: 0.000287692589104336, Avg lambda2: 0.5750765883138 
Cl - Avg Ci: 3.29e-03, Avg lambda: 6.33e-01, Avg Ci2: 0.0022119037850832197, Avg lambda2: 0.42503962631320596 
Cr - Avg Ci: 1.28e-04, Avg lambda: 9.47e-01, Avg Ci2: 8.60635573856436e-05, Avg lambda2: 0.6360030774652118 
Cu - Avg Ci: 1.71e-04, Avg lambda: 9.82e-01, Avg Ci2: 0.00011507698380621158, Avg lambda2: 0.6598630344337277 
Fe - Avg Ci: 4.99e-04, Avg lambda: 9.67e-01, Avg Ci2: 0.0003352909663940384, Avg lambda2: 0.6493481360708012 
K - Avg Ci: 5.28e-03, Avg lambda: 8.13e-01, Avg Ci2: 0.0035495629663823223, Avg lambda2: 0.5459056818420869 
Mg - Avg Ci: 1.51e-03, Avg lambda: 1.53e-01, Avg Ci2: 0.0010156225425911793, Avg lambda2: 0.10299277761057445 
Na - Avg Ci: 5.42e-03, Avg lambda: 9.54e-02, Avg Ci2: 0.0036428265369169268, Avg lambda2: 0.0641159786408089 
P - Avg Ci: 7.31e-03, Avg lambda: 4.24e-01, Avg Ci2: 0.004910714981654568, Avg lambda2: 0.28476229568365913 
S - Avg Ci: 5.22e-03, Avg lambda: 5.16e-01, Avg Ci2: 0.003507980633315033, Avg lambda2: 0.34665028234005807 
Zn - Avg Ci: 2.25e-04, Avg lambda: 9.85e-01, Avg Ci2: 0.0001511790327528602, Avg lambda2: 0.662028607286805 
Ca - Avg Ci: 4.32e-04, Avg lambda: 8.47e-01, Avg Ci2: 0.0003325183561752742, Avg lambda2: 0.6519442333537282 
Cl - Avg Ci: 3.35e-03, Avg lambda: 6.15e-01, Avg Ci2: 0.002582683585526448, Avg lambda2: 0.47360643972797606 
Cr - Avg Ci: 1.27e-04, Avg lambda: 9.43e-01, Avg Ci2: 9.7545987236974e-05, Avg lambda2: 0.7259467640188392 
Cu - Avg Ci: 1.70e-04, Avg lambda: 9.81e-01, Avg Ci2: 0.00013077257969032444, Avg lambda2: 0.755154398542778 
Fe - Avg Ci: 5.08e-04, Avg lambda: 9.64e-01, Avg Ci2: 0.0003910065365107743, Avg lambda2: 0.7422675317390032 
K - Avg Ci: 5.36e-03, Avg lambda: 8.01e-01, Avg Ci2: 0.004125538371666899, Avg lambda2: 0.616820830764166 
Mg - Avg Ci: 1.54e-03, Avg lambda: 1.46e-01, Avg Ci2: 0.0011819452756952084, Avg lambda2: 0.11262886555954886 
Na - Avg Ci: 5.54e-03, Avg lambda: 9.13e-02, Avg Ci2: 0.004266821098580146, Avg lambda2: 0.07031269265108067 
P - Avg Ci: 7.45e-03, Avg lambda: 4.06e-01, Avg Ci2: 0.005737414157467015, Avg lambda2: 0.31263338537847984 
S - Avg Ci: 5.36e-03, Avg lambda: 4.97e-01, Avg Ci2: 0.004128433328614391, Avg lambda2: 0.38290783843276643 
Zn - Avg Ci: 2.23e-04, Avg lambda: 9.84e-01, Avg Ci2: 0.0001715708460077566, Avg lambda2: 0.7578114473379854 
